AQM r3000, AQM r5000, AQM noxevent, AQM r2000, AQM coevent, GPS system_time, GPS gps_time, GPS latitude, GPS longitude 
21,29,111,28,3,2018-03-06 14:28:40.581219,14:28:40,52.56502966666667,13.409465666666666
15,27,181,28,3,2018-03-06 14:26:32.468370,14:26:32,52.565067166666665,13.409508333333333
25,37,99,35,3,2018-03-06 14:29:44.191285,14:29:44,52.56504616666667,13.409395833333333
34,45,62,43,3,2018-03-06 14:32:58.597262,14:32:58,52.565209833333334,13.4094395
38,47,55,45,3,2018-03-06 14:35:05.284544,14:35:05,52.565099000000004,13.409380833333334
18,28,133,28,3,2018-03-06 14:27:36.478383,14:27:36,52.56503716666667,13.409478
40,35,52,34,3,2018-03-06 14:41:31.498281,14:41:31,52.565061166666666,13.409485666666667
83,91,52,116,3,2018-03-07 06:14:56.140766,06:14:55,52.51407666666667,13.473500166666666
38,91,54,315,3,2018-03-07 13:09:08.839381,13:09:08,52.50710466666666,13.397814
41,102,52,334,3,2018-03-07 13:10:13.763654,13:10:13,52.5062375,13.4012195
41,101,51,335,3,2018-03-07 13:13:26.400876,13:13:26,52.506622166666666,13.413084166666666
41,101,54,335,3,2018-03-07 13:12:21.377042,13:12:21,52.50408933333333,13.409175666666666
33,86,62,287,3,2018-03-07 13:31:45.880816,13:31:45,52.50618083333333,13.4196425
35,78,62,286,3,2018-03-07 13:43:35.086489,13:43:34,52.50620283333333,13.419832166666666
36,84,58,292,3,2018-03-07 13:44:38.891063,13:44:38,52.506205333333334,13.419743833333333
34,85,60,288,3,2018-03-07 13:38:12.296993,13:38:11,52.506193333333336,13.4196655
36,86,57,289,3,2018-03-07 13:54:17.139390,13:54:16,52.506183666666665,13.419814
38,59,55,276,3,2018-03-07 14:02:54.595409,14:02:54,52.506224,13.419793666666667
79,204,54,515,3,2018-03-07 17:54:02.738169,17:54:02,52.51827466666667,13.417784666666666
79,211,57,556,3,2018-03-07 17:55:06.525483,17:55:06,52.521711333333336,13.416221833333333
83,212,83,570,3,2018-03-07 17:56:09.379893,17:56:09,52.522565666666665,13.416091
80,225,57,597,3,2018-03-07 18:00:27.634853,18:00:27,52.52817783333333,13.410245666666667
64,72,72,81,3,2018-03-07 19:10:02.495761,21:20:21,52.554182,13.411190333333334
80,127,60,147,3,2018-03-07 21:20:32.984036,21:20:32,52.55420683333333,13.410816166666667
78,91,60,121,3,2018-03-08 14:05:29.878606,14:05:29,52.562063333333334,13.412938833333333
65,122,70,387,3,2018-03-08 14:46:05.119167,14:46:04,52.59461616666667,13.424076333333334
70,138,67,378,3,2018-03-08 15:17:04.888097,15:17:04,52.54108033333333,13.4483405
133,245,50,486,3,2018-03-08 15:30:56.719095,15:30:56,52.53775483333333,13.450350333333333
65,116,79,339,3,2018-03-08 16:23:21.655015,16:23:21,52.52282533333333,13.4666805
87,180,52,398,3,2018-03-08 16:32:58.044974,16:32:57,52.522592833333334,13.463930333333334
466,228,68,510,3,2018-03-08 22:37:20.720673,22:37:20,52.500434166666665,13.312438333333333
117,84,68,102,3,2018-03-09 09:51:25.390542,09:51:25,52.517999,13.321389833333333
502,183,165,336,80,2018-03-09 09:55:29.605457,09:55:29,52.506836,13.330878333333333
130,131,50,325,3,2018-03-09 12:32:32.795903,13:37:22,52.527285,13.3141145
